Compound Name, 14 01a, 14 02a, 14 03a, 14 04a, 14 05a, 14 06a, 14 07a, 14 08a, 14 09a, 14 10a, 14 11a, 14 12a, 14 13a, 14 14a, 14 15a, 14 16a, 14 17a, 14 18a, 14 19a, 14 20a, 14 21a, 14 22a, 14 23a, 14 24a, 14 25a, 14 26a, 14 27a, 14 28a, 14 29a, 14 30a, 14 31a, 14 32a, 14 33a, 14 34a, 14 36a, 14 01b, 14 02b, 14 03b, 14 04b, 14 05b, 14 06b, 14 07b, 14 08b, 14 09b, 14 10b, 14 11b, 14 12b, 14 13b, 14 14b, 14 15b, 14 16b, 14 17b, 14 18b, 14 19b, 14 20b, 14 21b, 14 22b, 14 23b, 14 24b, 14 25b, 14 26b, 14 27b, 14 28b, 14 29b, 14 30b, 14 31b, 14 32b, 14 33b, 14 34b, 14 36b, 14 01c, 14 02c, 14 03c, 14 04c, 14 05c, 14 06c, 14 07c, 14 08c, 14 09c, 14 10c, 14 11c, 14 12c, 14 13c, 14 14c, 14 15c, 14 16c, 14 17c, 14 18c, 14 19c, 14 20c, 14 21c, 14 22c, 14 23c, 14 24c, 14 25c, 14 26c, 14 27c, 14 28c, 14 29c, 14 30c, 14 31c, 14 32c, 14 33c, 14 34c, 14 36c
1095_5.151_386.1556,27344.76,27946.69,33827.19,29648.88,34116.79,600,600,58460.27,28547.22,600,63184.73,51571.02,47257.17,35314.84,600,600,38751.36,30902.04,36325.28,600,29766.84,56137.74,59835.61,13425.74,46316.2,49786.02,66296.13,600,45518.48,72207.47,47351.66,600,68921.67,34089.42,600,27344.76,27946.69,33827.19,29648.88,34116.79,600,600,58460.27,28547.22,600,63184.73,51571.02,47257.17,35314.84,600,600,38751.36,30902.04,36325.28,600,29766.84,56137.74,59835.61,13425.74,46316.2,49786.02,66296.13,600,45518.48,72207.47,47351.66,600,68921.67,34089.42,600,27344.76,27946.69,33827.19,29648.88,34116.79,600,600,58460.27,28547.22,600,63184.73,51571.02,47257.17,35314.84,600,600,38751.36,30902.04,36325.28,600,29766.84,56137.74,59835.61,13425.74,46316.2,49786.02,66296.13,600,45518.48,72207.47,47351.66,600,68921.67,34089.42,600
1096_8.728_386.1727,210115.1,210088.3,215436.6,214204.2,170765.2,217677,220275.4,171255.6,185754.2,210267.2,164872.8,176450.1,229306.4,238106.6,179995.8,157093.9,201647.2,213791.9,196147.5,215390.8,143414.1,186563.2,178510.4,176368.5,233072.3,144655.1,188321.7,198542.3,177025.2,207656,163760.4,153912,169504.9,192103.2,189189.8,210115.1,210088.3,215436.6,214204.2,170765.2,217677,220275.4,171255.6,185754.2,210267.2,164872.8,176450.1,229306.4,238106.6,179995.8,157093.9,201647.2,213791.9,196147.5,215390.8,143414.1,186563.2,178510.4,176368.5,233072.3,144655.1,188321.7,198542.3,177025.2,207656,163760.4,153912,169504.9,192103.2,189189.8,210115.1,210088.3,215436.6,214204.2,170765.2,217677,220275.4,171255.6,185754.2,210267.2,164872.8,176450.1,229306.4,238106.6,179995.8,157093.9,201647.2,213791.9,196147.5,215390.8,143414.1,186563.2,178510.4,176368.5,233072.3,144655.1,188321.7,198542.3,177025.2,207656,163760.4,153912,169504.9,192103.2,189189.8
1097_9.341_386.1856,28579.85,41113.25,27441.61,52493.78,41259.18,30874.14,29301.31,43377.3,34584.64,33896.25,43311.6,28804.54,46310.28,38424.47,43797.87,26678.27,25557.45,30130.06,33241.69,36778.47,34594.89,42290.2,38622.13,38629.4,31945.39,36302.21,42531.23,38548.81,37955.37,49974.6,38992.91,41301.66,34644.17,35885.33,36053.26,28579.85,41113.25,27441.61,52493.78,41259.18,30874.14,29301.31,43377.3,34584.64,33896.25,43311.6,28804.54,46310.28,38424.47,43797.87,26678.27,25557.45,30130.06,33241.69,36778.47,34594.89,42290.2,38622.13,38629.4,31945.39,36302.21,42531.23,38548.81,37955.37,49974.6,38992.91,41301.66,34644.17,35885.33,36053.26,28579.85,41113.25,27441.61,52493.78,41259.18,30874.14,29301.31,43377.3,34584.64,33896.25,43311.6,28804.54,46310.28,38424.47,43797.87,26678.27,25557.45,30130.06,33241.69,36778.47,34594.89,42290.2,38622.13,38629.4,31945.39,36302.21,42531.23,38548.81,37955.37,49974.6,38992.91,41301.66,34644.17,35885.33,36053.26
1098_4.428_387.2467,465450.1,218397.1,121447.3,80857.98,544193.1,203798,165888.3,163805.8,79311.11,83561.83,70470.57,164721.6,309927.8,188070.7,141578,65460.28,158960,155229.2,686126.7,150544.5,175335.3,125332.1,110080.1,224075.1,199268.8,144634.7,184831.7,136386.2,116997.8,118473.8,107976.9,293535.5,116779.6,152131.5,183825.1,465450.1,218397.1,121447.3,80857.98,544193.1,203798,165888.3,163805.8,79311.11,83561.83,70470.57,164721.6,309927.8,188070.7,141578,65460.28,158960,155229.2,686126.7,150544.5,175335.3,125332.1,110080.1,224075.1,199268.8,144634.7,184831.7,136386.2,116997.8,118473.8,107976.9,293535.5,116779.6,152131.5,183825.1,465450.1,218397.1,121447.3,80857.98,544193.1,203798,165888.3,163805.8,79311.11,83561.83,70470.57,164721.6,309927.8,188070.7,141578,65460.28,158960,155229.2,686126.7,150544.5,175335.3,125332.1,110080.1,224075.1,199268.8,144634.7,184831.7,136386.2,116997.8,118473.8,107976.9,293535.5,116779.6,152131.5,183825.1
1099_5.421_388.1729,75346.06,600,134270.3,133285.2,158763.3,77789.06,157336,129165.7,271386.7,138554.7,600,87557.77,102692.6,121192.5,600,212695.9,24691.94,235874.3,134721.8,119168.4,113227.3,165581.2,600,600,105219.1,124133.2,127755,116071.1,249061,98605.2,114366.8,140692,600,152961.8,600,75346.06,600,134270.3,133285.2,158763.3,77789.06,157336,129165.7,271386.7,138554.7,600,87557.77,102692.6,121192.5,600,212695.9,24691.94,235874.3,134721.8,119168.4,113227.3,165581.2,600,600,105219.1,124133.2,127755,116071.1,249061,98605.2,114366.8,140692,600,152961.8,600,75346.06,600,134270.3,133285.2,158763.3,77789.06,157336,129165.7,271386.7,138554.7,600,87557.77,102692.6,121192.5,600,212695.9,24691.94,235874.3,134721.8,119168.4,113227.3,165581.2,600,600,105219.1,124133.2,127755,116071.1,249061,98605.2,114366.8,140692,600,152961.8,600
1100_6.175_390.1888,14259,600,600,600,600,600,600,600,600,600,600,600,600,600,16765.33,2419.6,6578.613,591540.3,600,600,600,600,600,23075.8,600,600,600,600,471510.3,525974.9,600,600,600,600,600,14259,600,600,600,600,600,600,600,600,600,600,600,600,600,16765.33,2419.6,6578.613,591540.3,600,600,600,600,600,23075.8,600,600,600,600,471510.3,525974.9,600,600,600,600,600,14259,600,600,600,600,600,600,600,600,600,600,600,600,600,16765.33,2419.6,6578.613,591540.3,600,600,600,600,600,23075.8,600,600,600,600,471510.3,525974.9,600,600,600,600,600
1101_6.058_390.1994,600,600,600,82904.04,600,48395.31,167673.9,95379.94,144835.3,133188.5,600,600,139654.3,37344.34,600,131083.1,45017.95,600,22209.18,21049.04,600,600,600,600,13670.33,82223.51,600,116213.4,600,600,195445.2,117332,170071.4,107234.7,600,600,600,600,82904.04,600,48395.31,167673.9,95379.94,144835.3,133188.5,600,600,139654.3,37344.34,600,131083.1,45017.95,600,22209.18,21049.04,600,600,600,600,13670.33,82223.51,600,116213.4,600,600,195445.2,117332,170071.4,107234.7,600,600,600,600,82904.04,600,48395.31,167673.9,95379.94,144835.3,133188.5,600,600,139654.3,37344.34,600,131083.1,45017.95,600,22209.18,21049.04,600,600,600,600,13670.33,82223.51,600,116213.4,600,600,195445.2,117332,170071.4,107234.7,600
1102_5.905_390.1996,43901.94,238050.2,76125.67,336134.2,600,600,304628.3,286069.8,339057.9,301098.1,213020.6,250055.3,330645,114458.9,186789.5,240348,81767,103316.5,68327.84,361230.1,600,129621.1,412815.6,41050.49,48794.34,301740.6,315855.5,370251.3,227707.5,223573.4,255086.4,309852.1,304466,336948.4,600,43901.94,238050.2,76125.67,336134.2,600,600,304628.3,286069.8,339057.9,301098.1,213020.6,250055.3,330645,114458.9,186789.5,240348,81767,103316.5,68327.84,361230.1,600,129621.1,412815.6,41050.49,48794.34,301740.6,315855.5,370251.3,227707.5,223573.4,255086.4,309852.1,304466,336948.4,600,43901.94,238050.2,76125.67,336134.2,600,600,304628.3,286069.8,339057.9,301098.1,213020.6,250055.3,330645,114458.9,186789.5,240348,81767,103316.5,68327.84,361230.1,600,129621.1,412815.6,41050.49,48794.34,301740.6,315855.5,370251.3,227707.5,223573.4,255086.4,309852.1,304466,336948.4,600
1103_7.449_391.184,38528.63,22464.08,18343.47,35427.34,30651.64,31804.03,30349.39,24404.87,21251.38,14090.23,600,11336.78,10184.47,8224.288,13665.45,13764.05,7260.257,9750.12,9269.973,9168.813,12768.86,12868.29,12161.06,15335.06,12199.89,14756.37,11725.12,14210.61,30397.49,21996.87,17043.45,28153.7,18231.87,16997.99,20441.44,38528.63,22464.08,18343.47,35427.34,30651.64,31804.03,30349.39,24404.87,21251.38,14090.23,600,11336.78,10184.47,8224.288,13665.45,13764.05,7260.257,9750.12,9269.973,9168.813,12768.86,12868.29,12161.06,15335.06,12199.89,14756.37,11725.12,14210.61,30397.49,21996.87,17043.45,28153.7,18231.87,16997.99,20441.44,38528.63,22464.08,18343.47,35427.34,30651.64,31804.03,30349.39,24404.87,21251.38,14090.23,600,11336.78,10184.47,8224.288,13665.45,13764.05,7260.257,9750.12,9269.973,9168.813,12768.86,12868.29,12161.06,15335.06,12199.89,14756.37,11725.12,14210.61,30397.49,21996.87,17043.45,28153.7,18231.87,16997.99,20441.44
1104_3.272_391.1966,180326.1,600,600,28176,600,126103.6,600,600,177864.3,600,34483.39,600,600,74827.2,217722.8,495852.5,572692.1,60005.69,46313.61,600,130603.8,118154.3,388412.2,600,600,600,600,174747.9,600,600,600,57717.92,600,1051947,34256.36,180326.1,600,600,28176,600,126103.6,600,600,177864.3,600,34483.39,600,600,74827.2,217722.8,495852.5,572692.1,60005.69,46313.61,600,130603.8,118154.3,388412.2,600,600,600,600,174747.9,600,600,600,57717.92,600,1051947,34256.36,180326.1,600,600,28176,600,126103.6,600,600,177864.3,600,34483.39,600,600,74827.2,217722.8,495852.5,572692.1,60005.69,46313.61,600,130603.8,118154.3,388412.2,600,600,600,600,174747.9,600,600,600,57717.92,600,1051947,34256.36
1105_5.567_391.7414,10321.71,6787.72,600,600,8453.35,4420.675,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,38384.65,12036.41,5926.827,600,600,600,600,6365.751,600,600,600,600,10321.71,6787.72,600,600,8453.35,4420.675,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,38384.65,12036.41,5926.827,600,600,600,600,6365.751,600,600,600,600,10321.71,6787.72,600,600,8453.35,4420.675,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,38384.65,12036.41,5926.827,600,600,600,600,6365.751,600,600,600,600
1106_1.485_391.7782,5785.05,600,600,118472.5,34129.33,11324.83,70141.59,600,600,78557.87,60226.66,54074.91,80595.89,6321.418,600,600,600,95346.1,14190.15,68596.73,600,91732.42,94091.45,600,8145.065,42487.21,58395.53,66595,142666.6,74793.14,66157.62,133405.2,117304.9,600,600,5785.05,600,600,118472.5,34129.33,11324.83,70141.59,600,600,78557.87,60226.66,54074.91,80595.89,6321.418,600,600,600,95346.1,14190.15,68596.73,600,91732.42,94091.45,600,8145.065,42487.21,58395.53,66595,142666.6,74793.14,66157.62,133405.2,117304.9,600,600,5785.05,600,600,118472.5,34129.33,11324.83,70141.59,600,600,78557.87,60226.66,54074.91,80595.89,6321.418,600,600,600,95346.1,14190.15,68596.73,600,91732.42,94091.45,600,8145.065,42487.21,58395.53,66595,142666.6,74793.14,66157.62,133405.2,117304.9,600,600
1107_9.28_392.2785,143286.6,5699.24,6138.323,7656.33,150018.4,184457.3,135811.6,162823.3,7619.548,600,140259.4,4796.053,146671.2,128583.3,148704.7,138152.8,137900.9,114877.3,13318.34,158097.7,8691.042,134951.6,134009.3,118425.7,146866,142140.6,169939.8,145310.9,118697,127998.9,138110.1,131711,120399.9,37476.36,130181.2,143286.6,5699.24,6138.323,7656.33,150018.4,184457.3,135811.6,162823.3,7619.548,600,140259.4,4796.053,146671.2,128583.3,148704.7,138152.8,137900.9,114877.3,13318.34,158097.7,8691.042,134951.6,134009.3,118425.7,146866,142140.6,169939.8,145310.9,118697,127998.9,138110.1,131711,120399.9,37476.36,130181.2,143286.6,5699.24,6138.323,7656.33,150018.4,184457.3,135811.6,162823.3,7619.548,600,140259.4,4796.053,146671.2,128583.3,148704.7,138152.8,137900.9,114877.3,13318.34,158097.7,8691.042,134951.6,134009.3,118425.7,146866,142140.6,169939.8,145310.9,118697,127998.9,138110.1,131711,120399.9,37476.36,130181.2
1108_7.463_396.1394,60355.15,38660.34,21668.24,55927.71,42760.07,47467.72,42682.05,41250.87,36857.19,27395.24,14852.93,18940.79,14002.3,17292.95,20523.89,23682.24,13988.95,16166.81,15110.57,15788.37,21649.53,23680.09,22072.59,25616.41,23960.05,26971.41,20988.52,23403.35,48221.03,38223.26,32596.3,46867.67,19102.78,29580.22,35551.9,60355.15,38660.34,21668.24,55927.71,42760.07,47467.72,42682.05,41250.87,36857.19,27395.24,14852.93,18940.79,14002.3,17292.95,20523.89,23682.24,13988.95,16166.81,15110.57,15788.37,21649.53,23680.09,22072.59,25616.41,23960.05,26971.41,20988.52,23403.35,48221.03,38223.26,32596.3,46867.67,19102.78,29580.22,35551.9,60355.15,38660.34,21668.24,55927.71,42760.07,47467.72,42682.05,41250.87,36857.19,27395.24,14852.93,18940.79,14002.3,17292.95,20523.89,23682.24,13988.95,16166.81,15110.57,15788.37,21649.53,23680.09,22072.59,25616.41,23960.05,26971.41,20988.52,23403.35,48221.03,38223.26,32596.3,46867.67,19102.78,29580.22,35551.9
1109_5.173_396.1405,600,84686.09,20224.9,600,600,600,600,75200.77,93628.48,600,51590.75,65946.86,600,600,600,600,600,600,12304.95,93999.33,88064.76,76719.45,86592.89,18175.93,12302.62,76993.88,90862.34,600,600,600,63390.41,78840.34,77287.24,74514.78,72956.98,600,84686.09,20224.9,600,600,600,600,75200.77,93628.48,600,51590.75,65946.86,600,600,600,600,600,600,12304.95,93999.33,88064.76,76719.45,86592.89,18175.93,12302.62,76993.88,90862.34,600,600,600,63390.41,78840.34,77287.24,74514.78,72956.98,600,84686.09,20224.9,600,600,600,600,75200.77,93628.48,600,51590.75,65946.86,600,600,600,600,600,600,12304.95,93999.33,88064.76,76719.45,86592.89,18175.93,12302.62,76993.88,90862.34,600,600,600,63390.41,78840.34,77287.24,74514.78,72956.98
1110_1.525_397.9134,600,120674.5,600,56027.48,17388.13,39666.62,86001.81,139698.9,600,143879,166377.2,145369.2,154361.1,40145.72,161781.2,60046.37,600,155821.8,600,198612.8,59017.54,130481.7,600,600,600,156295.1,167358.8,163209.2,52699.86,148215.4,156952.6,600,40094.35,54759.57,43398.87,600,120674.5,600,56027.48,17388.13,39666.62,86001.81,139698.9,600,143879,166377.2,145369.2,154361.1,40145.72,161781.2,60046.37,600,155821.8,600,198612.8,59017.54,130481.7,600,600,600,156295.1,167358.8,163209.2,52699.86,148215.4,156952.6,600,40094.35,54759.57,43398.87,600,120674.5,600,56027.48,17388.13,39666.62,86001.81,139698.9,600,143879,166377.2,145369.2,154361.1,40145.72,161781.2,60046.37,600,155821.8,600,198612.8,59017.54,130481.7,600,600,600,156295.1,167358.8,163209.2,52699.86,148215.4,156952.6,600,40094.35,54759.57,43398.87
1111_5.607_398.1552,600,600,600,600,113164.8,600,600,182777,600,600,212961.4,209413.5,139751.6,600,600,600,600,600,600,600,600,600,600,600,54640.8,127873.5,600,600,600,44743.73,195289.4,600,166726.7,600,184424,600,600,600,600,113164.8,600,600,182777,600,600,212961.4,209413.5,139751.6,600,600,600,600,600,600,600,600,600,600,600,54640.8,127873.5,600,600,600,44743.73,195289.4,600,166726.7,600,184424,600,600,600,600,113164.8,600,600,182777,600,600,212961.4,209413.5,139751.6,600,600,600,600,600,600,600,600,600,600,600,54640.8,127873.5,600,600,600,44743.73,195289.4,600,166726.7,600,184424
1112_5.296_398.1554,67263.07,68928.13,61331.71,54522.29,58550.01,92490.91,58428.52,600,600,70484.93,600,74126.91,600,79047.64,64858.54,600,25860.72,600,73265.3,73214.15,55572.71,54670.29,101376.8,53960.99,66479.63,600,2428.979,600,56343.32,32730.69,600,91512,600,88749.48,54241.89,67263.07,68928.13,61331.71,54522.29,58550.01,92490.91,58428.52,600,600,70484.93,600,74126.91,600,79047.64,64858.54,600,25860.72,600,73265.3,73214.15,55572.71,54670.29,101376.8,53960.99,66479.63,600,2428.979,600,56343.32,32730.69,600,91512,600,88749.48,54241.89,67263.07,68928.13,61331.71,54522.29,58550.01,92490.91,58428.52,600,600,70484.93,600,74126.91,600,79047.64,64858.54,600,25860.72,600,73265.3,73214.15,55572.71,54670.29,101376.8,53960.99,66479.63,600,2428.979,600,56343.32,32730.69,600,91512,600,88749.48,54241.89
1113_5.244_398.1554,600,264279.9,600,600,600,600,600,600,600,600,600,147029.6,600,600,600,338776.2,156111.1,600,600,600,253276.2,600,237875,600,148369.2,600,245164,600,600,600,600,600,600,600,600,600,264279.9,600,600,600,600,600,600,600,600,600,147029.6,600,600,600,338776.2,156111.1,600,600,600,253276.2,600,237875,600,148369.2,600,245164,600,600,600,600,600,600,600,600,600,264279.9,600,600,600,600,600,600,600,600,600,147029.6,600,600,600,338776.2,156111.1,600,600,600,253276.2,600,237875,600,148369.2,600,245164,600,600,600,600,600,600,600,600
1114_5.798_401.2048,41702.14,39737.6,435516.3,600,169148.1,50676.65,1071262,91452.19,33307.13,108772.1,6661.611,66655.58,69472.89,120756.8,10139.34,951746.8,256256.1,265697.8,73027.37,51710.55,21480.92,600,32298.12,5499.012,131261.7,24968.63,600,49295.45,600,600,600,600,17166.48,600,56413.16,41702.14,39737.6,435516.3,600,169148.1,50676.65,1071262,91452.19,33307.13,108772.1,6661.611,66655.58,69472.89,120756.8,10139.34,951746.8,256256.1,265697.8,73027.37,51710.55,21480.92,600,32298.12,5499.012,131261.7,24968.63,600,49295.45,600,600,600,600,17166.48,600,56413.16,41702.14,39737.6,435516.3,600,169148.1,50676.65,1071262,91452.19,33307.13,108772.1,6661.611,66655.58,69472.89,120756.8,10139.34,951746.8,256256.1,265697.8,73027.37,51710.55,21480.92,600,32298.12,5499.012,131261.7,24968.63,600,49295.45,600,600,600,600,17166.48,600,56413.16
1115_5.045_401.2085,600,600,600,21388.83,600,600,600,600,24875.61,600,600,600,600,600,70941.6,2710.116,600,600,600,600,26173.81,600,600,600,600,600,600,600,600,600,600,2363.142,600,600,600,600,600,600,21388.83,600,600,600,600,24875.61,600,600,600,600,600,70941.6,2710.116,600,600,600,600,26173.81,600,600,600,600,600,600,600,600,600,600,2363.142,600,600,600,600,600,600,21388.83,600,600,600,600,24875.61,600,600,600,600,600,70941.6,2710.116,600,600,600,600,26173.81,600,600,600,600,600,600,600,600,600,600,2363.142,600,600,600
1116_4.606_402.1502,148461.3,440357.9,600,301009.1,600,600,600,242373,600,391184.1,600,600,368976.3,152006.7,483121.7,292214.7,600,257234.9,232698.7,338767,359691.3,657421.6,345495.6,215765.3,170933.8,302633.7,323772.3,600,261073.1,600,315495.5,323123.4,716928.4,600,600,148461.3,440357.9,600,301009.1,600,600,600,242373,600,391184.1,600,600,368976.3,152006.7,483121.7,292214.7,600,257234.9,232698.7,338767,359691.3,657421.6,345495.6,215765.3,170933.8,302633.7,323772.3,600,261073.1,600,315495.5,323123.4,716928.4,600,600,148461.3,440357.9,600,301009.1,600,600,600,242373,600,391184.1,600,600,368976.3,152006.7,483121.7,292214.7,600,257234.9,232698.7,338767,359691.3,657421.6,345495.6,215765.3,170933.8,302633.7,323772.3,600,261073.1,600,315495.5,323123.4,716928.4,600,600
1117_4.624_402.1505,38055.59,600,148741.5,600,600,600,600,600,7943.244,600,600,170042.3,600,148904,600,213625.8,600,600,600,600,600,600,600,206324.5,168546.7,600,600,600,600,600,600,600,600,600,600,38055.59,600,148741.5,600,600,600,600,600,7943.244,600,600,170042.3,600,148904,600,213625.8,600,600,600,600,600,600,600,206324.5,168546.7,600,600,600,600,600,600,600,600,600,600,38055.59,600,148741.5,600,600,600,600,600,7943.244,600,600,170042.3,600,148904,600,213625.8,600,600,600,600,600,600,600,206324.5,168546.7,600,600,600,600,600,600,600,600,600,600
1118_5.458_403.2257,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,20457.29,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,20457.29,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,20457.29,600,600,600,600
1119_1.054_403.8063,75579.77,600,600,600,600,600,139936,600,600,600,600,600,600,600,41124.1,254803.9,600,600,600,600,600,600,151576.1,88126.21,600,600,600,600,600,600,600,600,600,80463.03,129179.6,75579.77,600,600,600,600,600,139936,600,600,600,600,600,600,600,41124.1,254803.9,600,600,600,600,600,600,151576.1,88126.21,600,600,600,600,600,600,600,600,600,80463.03,129179.6,75579.77,600,600,600,600,600,139936,600,600,600,600,600,600,600,41124.1,254803.9,600,600,600,600,600,600,151576.1,88126.21,600,600,600,600,600,600,600,600,600,80463.03,129179.6
1120_1.078_403.8099,67188.69,600,600,600,600,600,600,600,264247.1,600,600,600,600,600,600,600,93461.63,600,600,600,104721.5,600,600,60629.11,600,600,600,600,600,600,600,600,140918.3,600,600,67188.69,600,600,600,600,600,600,600,264247.1,600,600,600,600,600,600,600,93461.63,600,600,600,104721.5,600,600,60629.11,600,600,600,600,600,600,600,600,140918.3,600,600,67188.69,600,600,600,600,600,600,600,264247.1,600,600,600,600,600,600,600,93461.63,600,600,600,104721.5,600,600,60629.11,600,600,600,600,600,600,600,600,140918.3,600,600
1121_5.877_404.2238,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,241826.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,241826.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,241826.9,600
1122_3.309_406.1449,110980.9,59273.83,600,600,600,600,600,54091.19,40323.89,51378.51,97223.3,600,600,600,83197.45,23568.14,600,102931.2,600,600,600,600,600,600,600,600,600,600,600,40135.24,51688.21,600,59556.46,256097.2,600,110980.9,59273.83,600,600,600,600,600,54091.19,40323.89,51378.51,97223.3,600,600,600,83197.45,23568.14,600,102931.2,600,600,600,600,600,600,600,600,600,600,600,40135.24,51688.21,600,59556.46,256097.2,600,110980.9,59273.83,600,600,600,600,600,54091.19,40323.89,51378.51,97223.3,600,600,600,83197.45,23568.14,600,102931.2,600,600,600,600,600,600,600,600,600,600,600,40135.24,51688.21,600,59556.46,256097.2,600
1123_5.79_406.2214,600,600,37282.79,600,34679.16,10866.22,600,48383.21,600,33592.73,42148.27,600,71931.36,600,600,600,53727.05,21199.07,600,600,68578.8,5100.923,600,600,600,29806.07,67949.01,72103.16,16496.56,20825.26,15593.05,600,52809.79,56919.67,69554,600,600,37282.79,600,34679.16,10866.22,600,48383.21,600,33592.73,42148.27,600,71931.36,600,600,600,53727.05,21199.07,600,600,68578.8,5100.923,600,600,600,29806.07,67949.01,72103.16,16496.56,20825.26,15593.05,600,52809.79,56919.67,69554,600,600,37282.79,600,34679.16,10866.22,600,48383.21,600,33592.73,42148.27,600,71931.36,600,600,600,53727.05,21199.07,600,600,68578.8,5100.923,600,600,600,29806.07,67949.01,72103.16,16496.56,20825.26,15593.05,600,52809.79,56919.67,69554
1124_0.771_409.8696,16146.48,27197.05,27567.32,32918.79,8042.143,41357.7,25629.58,39280.15,6575.102,33978.11,41347.33,52798.17,45924.19,33787.25,41228.2,8600.054,13496.97,43471.8,23520.4,51144.03,21193.96,30132.43,7346.344,8220.637,28399.5,50031,45861.7,38405.8,21053.27,41929.91,44565.12,22709.42,12473.94,11541.13,17362.57,16146.48,27197.05,27567.32,32918.79,8042.143,41357.7,25629.58,39280.15,6575.102,33978.11,41347.33,52798.17,45924.19,33787.25,41228.2,8600.054,13496.97,43471.8,23520.4,51144.03,21193.96,30132.43,7346.344,8220.637,28399.5,50031,45861.7,38405.8,21053.27,41929.91,44565.12,22709.42,12473.94,11541.13,17362.57,16146.48,27197.05,27567.32,32918.79,8042.143,41357.7,25629.58,39280.15,6575.102,33978.11,41347.33,52798.17,45924.19,33787.25,41228.2,8600.054,13496.97,43471.8,23520.4,51144.03,21193.96,30132.43,7346.344,8220.637,28399.5,50031,45861.7,38405.8,21053.27,41929.91,44565.12,22709.42,12473.94,11541.13,17362.57
1125_5.52_410.1557,600,600,101042.3,600,156222.1,125606.3,94301.57,600,600,199893.6,600,600,181499,179886.9,124807.1,600,600,600,600,207079.4,600,88210.63,142284.8,600,600,600,208465.1,195306.9,600,4672.973,177304.4,13556.78,102706.4,600,600,600,600,101042.3,600,156222.1,125606.3,94301.57,600,600,199893.6,600,600,181499,179886.9,124807.1,600,600,600,600,207079.4,600,88210.63,142284.8,600,600,600,208465.1,195306.9,600,4672.973,177304.4,13556.78,102706.4,600,600,600,600,101042.3,600,156222.1,125606.3,94301.57,600,600,199893.6,600,600,181499,179886.9,124807.1,600,600,600,600,207079.4,600,88210.63,142284.8,600,600,600,208465.1,195306.9,600,4672.973,177304.4,13556.78,102706.4,600,600
1126_1.568_410.822,600,58825.36,600,120348.7,600,600,72395.4,600,600,62344.89,600,600,66935.55,600,600,600,600,85755.94,600,65215.09,600,600,70615.69,600,600,600,600,600,224827.1,60435.4,73896.88,166828.7,126286.6,600,600,600,58825.36,600,120348.7,600,600,72395.4,600,600,62344.89,600,600,66935.55,600,600,600,600,85755.94,600,65215.09,600,600,70615.69,600,600,600,600,600,224827.1,60435.4,73896.88,166828.7,126286.6,600,600,600,58825.36,600,120348.7,600,600,72395.4,600,600,62344.89,600,600,66935.55,600,600,600,600,85755.94,600,65215.09,600,600,70615.69,600,600,600,600,600,224827.1,60435.4,73896.88,166828.7,126286.6,600,600
1127_5.444_411.7391,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
1128_5.645_412.1721,600,32782.55,48709.8,107554.3,600,600,600,600,169455.8,600,141759.6,50203.31,600,600,157875.9,61001.66,48168.02,600,60140.9,112749.4,600,600,600,600,78769.31,73363.32,600,600,74223.21,50840.76,105442.3,600,600,45362.64,157235,600,32782.55,48709.8,107554.3,600,600,600,600,169455.8,600,141759.6,50203.31,600,600,157875.9,61001.66,48168.02,600,60140.9,112749.4,600,600,600,600,78769.31,73363.32,600,600,74223.21,50840.76,105442.3,600,600,45362.64,157235,600,32782.55,48709.8,107554.3,600,600,600,600,169455.8,600,141759.6,50203.31,600,600,157875.9,61001.66,48168.02,600,60140.9,112749.4,600,600,600,600,78769.31,73363.32,600,600,74223.21,50840.76,105442.3,600,600,45362.64,157235
