, 15-01a, 15-02a, 15-03a, 15-04a, 15-05a, 15-06a, 15-07a, 15-08a, 15-09a, 15-10a, 15-11a, 15-12a, 15-13a, 15-14a, 15-15a, 15-16a, 15-17a, 15-18a, 15-19a, 15-20a, 15-21a, 15-22a, 15-23a, 15-24a, 15-25a, 15-26a, 15-27a, 15-28a, 15-29a, 15-30a, 15-31a, 15-32a, 15-33a, 15-34a, 15-36a, 15-01b, 15-02b, 15-03b, 15-04b, 15-05b, 15-06b, 15-07b, 15-08b, 15-09b, 15-10b, 15-11b, 15-12b, 15-13b, 15-14b, 15-15b, 15-16b, 15-17b, 15-18b, 15-19b, 15-20b, 15-21b, 15-22b, 15-23b, 15-24b, 15-25b, 15-26b, 15-27b, 15-28b, 15-29b, 15-30b, 15-31b, 15-32b, 15-33b, 15-34b, 15-36b, 15-01c, 15-02c, 15-03c, 15-04c, 15-05c, 15-06c, 15-07c, 15-08c, 15-09c, 15-10c, 15-11c, 15-12c, 15-13c, 15-14c, 15-15c, 15-16c, 15-17c, 15-18c, 15-19c, 15-20c, 15-21c, 15-22c, 15-23c, 15-24c, 15-25c, 15-26c, 15-27c, 15-28c, 15-29c, 15-30c, 15-31c, 15-32c, 15-33c, 15-34c, 15-36c
20_0.632_79.0422,600,664534.2,745472.6,775115.6,600,627927.3,835693.1,736799.2,600,665065.1,694281.5,860749.8,722213.9,682824.1,889200.5,738455.8,742659.3,600,722295.3,1187159,716654.8,600,683417.5,750277.3,768174.9,822993.4,697011.9,600,600,634451.4,809718.1,685501.9,764496.5,654528.4,782935.1,600,664534.2,745472.6,775115.6,600,627927.3,835693.1,736799.2,600,665065.1,694281.5,860749.8,722213.9,682824.1,889200.5,738455.8,742659.3,600,722295.3,1187159,716654.8,600,683417.5,750277.3,768174.9,822993.4,697011.9,600,600,634451.4,809718.1,685501.9,764496.5,654528.4,782935.1,600,664534.2,745472.6,775115.6,600,627927.3,835693.1,736799.2,600,665065.1,694281.5,860749.8,722213.9,682824.1,889200.5,738455.8,742659.3,600,722295.3,1187159,716654.8,600,683417.5,750277.3,768174.9,822993.4,697011.9,600,600,634451.4,809718.1,685501.9,764496.5,654528.4,782935.1
21_8.122_79.0422,600,600,600,600,325478,267816.9,600,600,600,264996,600,600,468468.1,600,600,350053.3,600,600,378015.2,806983.9,277270.4,600,248597,600,769010.1,600,751912.5,600,600,600,600,600,600,600,600,600,600,600,600,325478,267816.9,600,600,600,264996,600,600,468468.1,600,600,350053.3,600,600,378015.2,806983.9,277270.4,600,248597,600,769010.1,600,751912.5,600,600,600,600,600,600,600,600,600,600,600,600,325478,267816.9,600,600,600,264996,600,600,468468.1,600,600,350053.3,600,600,378015.2,806983.9,277270.4,600,248597,600,769010.1,600,751912.5,600,600,600,600,600,600,600,600
22_5.69_79.0422,534628.9,136983.2,701460.8,763745.3,147277,366341.8,600,442639,345052.5,864437.3,600,600,348253.2,348678.8,600,280338.5,371040.8,408913.8,345032,375230.8,600,115082.4,446096.4,600,600,600,743095.5,765024.7,600,315658.1,357373.3,600,600,121072.7,600,534628.9,136983.2,701460.8,763745.3,147277,366341.8,600,442639,345052.5,864437.3,600,600,348253.2,348678.8,600,280338.5,371040.8,408913.8,345032,375230.8,600,115082.4,446096.4,600,600,600,743095.5,765024.7,600,315658.1,357373.3,600,600,121072.7,600,534628.9,136983.2,701460.8,763745.3,147277,366341.8,600,442639,345052.5,864437.3,600,600,348253.2,348678.8,600,280338.5,371040.8,408913.8,345032,375230.8,600,115082.4,446096.4,600,600,600,743095.5,765024.7,600,315658.1,357373.3,600,600,121072.7,600
23_9.541_79.0422,537111.3,490730.2,600,390557.7,429082.5,527118.8,466610,637238.8,406375.6,498825.8,496011.5,499985.5,412769.8,429020.2,412289.7,600,463261.5,458580.6,437895,600,456631.8,320421.9,600,456575.3,374916,638098.6,600,467804,600,443430.7,416911.1,600,513129.9,519295,600,537111.3,490730.2,600,390557.7,429082.5,527118.8,466610,637238.8,406375.6,498825.8,496011.5,499985.5,412769.8,429020.2,412289.7,600,463261.5,458580.6,437895,600,456631.8,320421.9,600,456575.3,374916,638098.6,600,467804,600,443430.7,416911.1,600,513129.9,519295,600,537111.3,490730.2,600,390557.7,429082.5,527118.8,466610,637238.8,406375.6,498825.8,496011.5,499985.5,412769.8,429020.2,412289.7,600,463261.5,458580.6,437895,600,456631.8,320421.9,600,456575.3,374916,638098.6,600,467804,600,443430.7,416911.1,600,513129.9,519295,600
24_9.645_79.0422,240547.9,600,600,453363.3,600,273418.2,600,600,600,600,600,400637.7,600,600,600,600,424477.5,600,600,600,600,600,600,600,600,600,600,600,600,375208.7,600,600,600,600,600,240547.9,600,600,453363.3,600,273418.2,600,600,600,600,600,400637.7,600,600,600,600,424477.5,600,600,600,600,600,600,600,600,600,600,600,600,375208.7,600,600,600,600,600,240547.9,600,600,453363.3,600,273418.2,600,600,600,600,600,400637.7,600,600,600,600,424477.5,600,600,600,600,600,600,600,600,600,600,600,600,375208.7,600,600,600,600,600
25_0.233_79.0422,446772.5,600,488955.8,600,600,626793.3,600,600,433959.6,600,815477.3,625062.1,600,600,600,600,600,627656,600,651050.8,919260.9,600,600,607606.8,600,942637.1,626474.4,600,731241.5,600,600,514054.8,600,600,600,446772.5,600,488955.8,600,600,626793.3,600,600,433959.6,600,815477.3,625062.1,600,600,600,600,600,627656,600,651050.8,919260.9,600,600,607606.8,600,942637.1,626474.4,600,731241.5,600,600,514054.8,600,600,600,446772.5,600,488955.8,600,600,626793.3,600,600,433959.6,600,815477.3,625062.1,600,600,600,600,600,627656,600,651050.8,919260.9,600,600,607606.8,600,942637.1,626474.4,600,731241.5,600,600,514054.8,600,600,600
26_9.423_79.0422,303945,600,292098,328420.5,337561.4,346745.1,326213.6,261235.3,259014.9,331777.9,257726.4,328695.7,600,600,600,267655.7,374676.5,373520.3,336319.9,342691.9,254016.3,325264.3,326768,336118.6,368572.3,600,600,369832.1,359856,600,299606.4,600,352678.9,306270.8,343219.6,303945,600,292098,328420.5,337561.4,346745.1,326213.6,261235.3,259014.9,331777.9,257726.4,328695.7,600,600,600,267655.7,374676.5,373520.3,336319.9,342691.9,254016.3,325264.3,326768,336118.6,368572.3,600,600,369832.1,359856,600,299606.4,600,352678.9,306270.8,343219.6,303945,600,292098,328420.5,337561.4,346745.1,326213.6,261235.3,259014.9,331777.9,257726.4,328695.7,600,600,600,267655.7,374676.5,373520.3,336319.9,342691.9,254016.3,325264.3,326768,336118.6,368572.3,600,600,369832.1,359856,600,299606.4,600,352678.9,306270.8,343219.6
27_0.363_79.0422,395432.9,600,600,590533.3,602756.9,600,600,554308.6,600,533427.1,600,600,600,463460.8,508252.5,462631.3,600,600,600,600,600,463079.8,364915.5,568960.9,600,600,600,600,600,600,501781.3,456948.6,478467.7,568156.6,457893.9,395432.9,600,600,590533.3,602756.9,600,600,554308.6,600,533427.1,600,600,600,463460.8,508252.5,462631.3,600,600,600,600,600,463079.8,364915.5,568960.9,600,600,600,600,600,600,501781.3,456948.6,478467.7,568156.6,457893.9,395432.9,600,600,590533.3,602756.9,600,600,554308.6,600,533427.1,600,600,600,463460.8,508252.5,462631.3,600,600,600,600,600,463079.8,364915.5,568960.9,600,600,600,600,600,600,501781.3,456948.6,478467.7,568156.6,457893.9
28_1.939_79.0422,700197,588186.4,723129.4,697928.8,723447.6,600,781693.8,706625.7,600,616264.4,600,600,839029.4,600,703225.3,600,758708.4,772275.8,600,717100.8,1001703,600,600,600,600,693510.9,684607.6,600,600,600,600,600,600,600,600,700197,588186.4,723129.4,697928.8,723447.6,600,781693.8,706625.7,600,616264.4,600,600,839029.4,600,703225.3,600,758708.4,772275.8,600,717100.8,1001703,600,600,600,600,693510.9,684607.6,600,600,600,600,600,600,600,600,700197,588186.4,723129.4,697928.8,723447.6,600,781693.8,706625.7,600,616264.4,600,600,839029.4,600,703225.3,600,758708.4,772275.8,600,717100.8,1001703,600,600,600,600,693510.9,684607.6,600,600,600,600,600,600,600,600
29_1.518_79.0422,600,548128.9,381657.9,520605.8,600,600,600,541491.1,451743.8,481384.9,584709.5,433616.5,375092.2,498822.5,600,496090.4,557132.4,583946.4,563492.6,589182.1,446067.7,460650.3,514226.3,590535.8,557296.9,600,600,600,445919.4,311168.7,528993.7,478663.9,505806.2,495412.5,390159.3,600,548128.9,381657.9,520605.8,600,600,600,541491.1,451743.8,481384.9,584709.5,433616.5,375092.2,498822.5,600,496090.4,557132.4,583946.4,563492.6,589182.1,446067.7,460650.3,514226.3,590535.8,557296.9,600,600,600,445919.4,311168.7,528993.7,478663.9,505806.2,495412.5,390159.3,600,548128.9,381657.9,520605.8,600,600,600,541491.1,451743.8,481384.9,584709.5,433616.5,375092.2,498822.5,600,496090.4,557132.4,583946.4,563492.6,589182.1,446067.7,460650.3,514226.3,590535.8,557296.9,600,600,600,445919.4,311168.7,528993.7,478663.9,505806.2,495412.5,390159.3
30_9.188_79.0422,562563,600,348840.3,515702.3,548756.8,600,281051.8,600,465271.3,564353.6,405513.3,443389.7,502892.7,600,516508.9,490259.6,486936.3,471808.3,492864.8,600,342052.1,600,344883.8,338744.7,600,600,600,600,410628,394436.9,600,600,600,370266.1,600,562563,600,348840.3,515702.3,548756.8,600,281051.8,600,465271.3,564353.6,405513.3,443389.7,502892.7,600,516508.9,490259.6,486936.3,471808.3,492864.8,600,342052.1,600,344883.8,338744.7,600,600,600,600,410628,394436.9,600,600,600,370266.1,600,562563,600,348840.3,515702.3,548756.8,600,281051.8,600,465271.3,564353.6,405513.3,443389.7,502892.7,600,516508.9,490259.6,486936.3,471808.3,492864.8,600,342052.1,600,344883.8,338744.7,600,600,600,600,410628,394436.9,600,600,600,370266.1,600
31_0.684_79.0422,600,585313.3,600,600,600,600,600,600,494219.7,600,600,600,600,466861.4,468524.4,600,600,919186.8,600,600,600,600,600,582668.9,600,600,600,602449.7,600,177039.5,533343.6,600,550980,600,600,600,585313.3,600,600,600,600,600,600,494219.7,600,600,600,600,466861.4,468524.4,600,600,919186.8,600,600,600,600,600,582668.9,600,600,600,602449.7,600,177039.5,533343.6,600,550980,600,600,600,585313.3,600,600,600,600,600,600,494219.7,600,600,600,600,466861.4,468524.4,600,600,919186.8,600,600,600,600,600,582668.9,600,600,600,602449.7,600,177039.5,533343.6,600,550980,600,600
32_0.524_79.0422,600,600,600,600,630514.1,730188.1,596485.8,600,600,600,600,600,600,600,528980.6,600,600,600,600,905884.4,468932.6,369831.3,600,600,600,600,647793.4,458358.9,600,492421.8,455133.8,600,600,464539.5,377334.5,600,600,600,600,630514.1,730188.1,596485.8,600,600,600,600,600,600,600,528980.6,600,600,600,600,905884.4,468932.6,369831.3,600,600,600,600,647793.4,458358.9,600,492421.8,455133.8,600,600,464539.5,377334.5,600,600,600,600,630514.1,730188.1,596485.8,600,600,600,600,600,600,600,528980.6,600,600,600,600,905884.4,468932.6,369831.3,600,600,600,600,647793.4,458358.9,600,492421.8,455133.8,600,600,464539.5,377334.5
33_3.558_79.0422,207357.9,431086.3,600,702695.3,365407.6,399729,418612.5,600,600,600,600,317394.4,600,377807.2,294608.7,600,263543.2,370303.7,616094,354753.6,372562.3,327284.8,600,600,415114.4,600,446629.3,319367.8,642549.7,231187.3,600,464902.3,600,600,600,207357.9,431086.3,600,702695.3,365407.6,399729,418612.5,600,600,600,600,317394.4,600,377807.2,294608.7,600,263543.2,370303.7,616094,354753.6,372562.3,327284.8,600,600,415114.4,600,446629.3,319367.8,642549.7,231187.3,600,464902.3,600,600,600,207357.9,431086.3,600,702695.3,365407.6,399729,418612.5,600,600,600,600,317394.4,600,377807.2,294608.7,600,263543.2,370303.7,616094,354753.6,372562.3,327284.8,600,600,415114.4,600,446629.3,319367.8,642549.7,231187.3,600,464902.3,600,600,600
34_1.013_79.0422,128732.9,600,208640.6,600,71363.71,620806.1,289237.7,331095.5,607431.8,541866.1,600,663641.1,708208.3,600,600,611402.1,205138.4,1174685,600,697771.3,600,600,600,230095.9,222686.2,681060.1,600,600,600,264097.4,600,600,600,189032.1,600,128732.9,600,208640.6,600,71363.71,620806.1,289237.7,331095.5,607431.8,541866.1,600,663641.1,708208.3,600,600,611402.1,205138.4,1174685,600,697771.3,600,600,600,230095.9,222686.2,681060.1,600,600,600,264097.4,600,600,600,189032.1,600,128732.9,600,208640.6,600,71363.71,620806.1,289237.7,331095.5,607431.8,541866.1,600,663641.1,708208.3,600,600,611402.1,205138.4,1174685,600,697771.3,600,600,600,230095.9,222686.2,681060.1,600,600,600,264097.4,600,600,600,189032.1,600
35_0.313_79.0422,600,600,600,600,600,600,600,600,374878.4,397852.9,600,600,600,373729.3,600,370985.8,600,600,600,600,600,600,600,600,600,600,600,385972.6,600,413699.5,600,600,600,600,600,600,600,600,600,600,600,600,600,374878.4,397852.9,600,600,600,373729.3,600,370985.8,600,600,600,600,600,600,600,600,600,600,600,385972.6,600,413699.5,600,600,600,600,600,600,600,600,600,600,600,600,600,374878.4,397852.9,600,600,600,373729.3,600,370985.8,600,600,600,600,600,600,600,600,600,600,600,385972.6,600,413699.5,600,600,600,600,600
36_9.642_79.0422,271761.8,600,600,600,279629.4,316695.8,600,600,600,600,600,600,600,600,600,272327.9,600,288891.8,600,600,600,301267.8,600,256083.1,269624.2,600,271145.1,283482.1,600,600,253251.4,255976.2,600,600,600,271761.8,600,600,600,279629.4,316695.8,600,600,600,600,600,600,600,600,600,272327.9,600,288891.8,600,600,600,301267.8,600,256083.1,269624.2,600,271145.1,283482.1,600,600,253251.4,255976.2,600,600,600,271761.8,600,600,600,279629.4,316695.8,600,600,600,600,600,600,600,600,600,272327.9,600,288891.8,600,600,600,301267.8,600,256083.1,269624.2,600,271145.1,283482.1,600,600,253251.4,255976.2,600,600,600
37_0.708_79.0422,600,244433.1,600,600,600,219152.6,384892.6,600,600,217074.6,600,293404.5,600,600,180324.7,377856.8,326667.7,600,600,600,334770.7,600,600,600,190161.5,600,187485.1,425950.3,176589.1,358235.8,600,600,600,372501.3,403865.3,600,244433.1,600,600,600,219152.6,384892.6,600,600,217074.6,600,293404.5,600,600,180324.7,377856.8,326667.7,600,600,600,334770.7,600,600,600,190161.5,600,187485.1,425950.3,176589.1,358235.8,600,600,600,372501.3,403865.3,600,244433.1,600,600,600,219152.6,384892.6,600,600,217074.6,600,293404.5,600,600,180324.7,377856.8,326667.7,600,600,600,334770.7,600,600,600,190161.5,600,187485.1,425950.3,176589.1,358235.8,600,600,600,372501.3,403865.3
38_1.837_79.0422,600,498562.7,600,600,600,600,600,600,304720.2,600,600,600,531291.2,600,365030.1,600,600,600,554485.9,592817.3,453072.3,600,600,600,569724.3,600,493273.5,600,551365.7,600,600,600,392811.3,600,494901.7,600,498562.7,600,600,600,600,600,600,304720.2,600,600,600,531291.2,600,365030.1,600,600,600,554485.9,592817.3,453072.3,600,600,600,569724.3,600,493273.5,600,551365.7,600,600,600,392811.3,600,494901.7,600,498562.7,600,600,600,600,600,600,304720.2,600,600,600,531291.2,600,365030.1,600,600,600,554485.9,592817.3,453072.3,600,600,600,569724.3,600,493273.5,600,551365.7,600,600,600,392811.3,600,494901.7
39_1.744_79.0422,460291.6,600,244143.1,600,600,328526,600,380005.2,450970.4,340479.4,600,600,600,430607.3,600,354200.6,396850.3,600,600,600,421278.3,403685.3,600,318454,600,600,357996.7,458706.4,600,600,600,600,600,600,600,460291.6,600,244143.1,600,600,328526,600,380005.2,450970.4,340479.4,600,600,600,430607.3,600,354200.6,396850.3,600,600,600,421278.3,403685.3,600,318454,600,600,357996.7,458706.4,600,600,600,600,600,600,600,460291.6,600,244143.1,600,600,328526,600,380005.2,450970.4,340479.4,600,600,600,430607.3,600,354200.6,396850.3,600,600,600,421278.3,403685.3,600,318454,600,600,357996.7,458706.4,600,600,600,600,600,600,600
40_9.457_79.0422,251806,600,212499,217658.3,600,203897.4,600,600,600,600,600,221981.7,235739.5,600,600,600,600,600,600,600,219728,252096.1,222868,229753.8,600,600,600,600,600,600,600,600,600,237814.5,600,251806,600,212499,217658.3,600,203897.4,600,600,600,600,600,221981.7,235739.5,600,600,600,600,600,600,600,219728,252096.1,222868,229753.8,600,600,600,600,600,600,600,600,600,237814.5,600,251806,600,212499,217658.3,600,203897.4,600,600,600,600,600,221981.7,235739.5,600,600,600,600,600,600,600,219728,252096.1,222868,229753.8,600,600,600,600,600,600,600,600,600,237814.5,600
41_1.995_79.0422,600,600,600,600,600,215214,600,600,228228.1,600,600,600,600,373563.9,600,380046.7,600,600,275113.3,600,401947,600,600,315678.4,600,600,416448.3,600,326981.2,398927.4,600,420235,249444.6,600,600,600,600,600,600,600,215214,600,600,228228.1,600,600,600,600,373563.9,600,380046.7,600,600,275113.3,600,401947,600,600,315678.4,600,600,416448.3,600,326981.2,398927.4,600,420235,249444.6,600,600,600,600,600,600,600,215214,600,600,228228.1,600,600,600,600,373563.9,600,380046.7,600,600,275113.3,600,401947,600,600,315678.4,600,600,416448.3,600,326981.2,398927.4,600,420235,249444.6,600,600
42_3.049_79.0422,185780.6,600,600,600,216147.5,205499.8,187686.7,600,600,206940.5,600,205950,600,181015.2,171010.8,600,600,600,600,154976.8,600,252615.3,600,600,310988.4,237055.5,600,600,249531.3,231519.6,182034.1,600,600,176681.3,184031.2,185780.6,600,600,600,216147.5,205499.8,187686.7,600,600,206940.5,600,205950,600,181015.2,171010.8,600,600,600,600,154976.8,600,252615.3,600,600,310988.4,237055.5,600,600,249531.3,231519.6,182034.1,600,600,176681.3,184031.2,185780.6,600,600,600,216147.5,205499.8,187686.7,600,600,206940.5,600,205950,600,181015.2,171010.8,600,600,600,600,154976.8,600,252615.3,600,600,310988.4,237055.5,600,600,249531.3,231519.6,182034.1,600,600,176681.3,184031.2
43_0.29_79.0422,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,277066.4,600,600,600,600,600,600,600,318495.2,600,302795.2,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,277066.4,600,600,600,600,600,600,600,318495.2,600,302795.2,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,277066.4,600,600,600,600,600,600,600,318495.2,600,302795.2,600,600
44_0.555_79.0422,600,600,600,303510.7,600,600,600,600,290386.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,275061,290739.7,600,600,600,600,600,600,600,600,600,303510.7,600,600,600,600,290386.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,275061,290739.7,600,600,600,600,600,600,600,600,600,303510.7,600,600,600,600,290386.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,275061,290739.7,600,600,600,600,600,600
45_1.374_79.0422,600,600,600,316146.8,600,600,363998.9,600,600,600,600,600,482176.2,600,373132.1,600,600,600,600,238633.8,600,600,324771.4,600,600,151629,600,189056.9,183498,469258.3,600,155471.3,341928.2,600,600,600,600,600,316146.8,600,600,363998.9,600,600,600,600,600,482176.2,600,373132.1,600,600,600,600,238633.8,600,600,324771.4,600,600,151629,600,189056.9,183498,469258.3,600,155471.3,341928.2,600,600,600,600,600,316146.8,600,600,363998.9,600,600,600,600,600,482176.2,600,373132.1,600,600,600,600,238633.8,600,600,324771.4,600,600,151629,600,189056.9,183498,469258.3,600,155471.3,341928.2,600,600
46_0.443_79.0422,251216.3,600,600,600,600,600,600,600,354834.2,345668.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,251216.3,600,600,600,600,600,600,600,354834.2,345668.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,251216.3,600,600,600,600,600,600,600,354834.2,345668.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
47_3.303_79.0422,348661.3,600,600,600,600,600,600,600,319192.2,600,600,365022.4,600,600,337182.2,600,600,600,600,345231.5,184492.8,600,600,600,277636.2,600,600,600,600,348868.1,327493.8,320698.9,600,600,144409.8,348661.3,600,600,600,600,600,600,600,319192.2,600,600,365022.4,600,600,337182.2,600,600,600,600,345231.5,184492.8,600,600,600,277636.2,600,600,600,600,348868.1,327493.8,320698.9,600,600,144409.8,348661.3,600,600,600,600,600,600,600,319192.2,600,600,365022.4,600,600,337182.2,600,600,600,600,345231.5,184492.8,600,600,600,277636.2,600,600,600,600,348868.1,327493.8,320698.9,600,600,144409.8
48_0.194_79.0422,600,600,600,294483.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,231816.3,600,600,600,600,211387.9,600,600,600,600,214131.2,600,284791.9,600,600,600,294483.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,231816.3,600,600,600,600,211387.9,600,600,600,600,214131.2,600,284791.9,600,600,600,294483.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,231816.3,600,600,600,600,211387.9,600,600,600,600,214131.2,600,284791.9
49_1.455_79.0422,600,600,600,600,233885,600,254425.8,600,600,238158.5,600,600,600,600,600,600,600,600,600,183890.6,600,600,600,224433,600,600,222465.4,600,268351.9,600,230097.9,600,600,600,600,600,600,600,600,233885,600,254425.8,600,600,238158.5,600,600,600,600,600,600,600,600,600,183890.6,600,600,600,224433,600,600,222465.4,600,268351.9,600,230097.9,600,600,600,600,600,600,600,600,233885,600,254425.8,600,600,238158.5,600,600,600,600,600,600,600,600,600,183890.6,600,600,600,224433,600,600,222465.4,600,268351.9,600,230097.9,600,600,600,600
50_2.076_79.0422,584687.8,492751.4,600,600,600,600,600,600,600,600,600,600,502896.9,600,600,600,600,600,496657.2,600,600,489414.4,498748,600,558407.6,600,600,600,600,600,600,600,600,600,459307.3,584687.8,492751.4,600,600,600,600,600,600,600,600,600,600,502896.9,600,600,600,600,600,496657.2,600,600,489414.4,498748,600,558407.6,600,600,600,600,600,600,600,600,600,459307.3,584687.8,492751.4,600,600,600,600,600,600,600,600,600,600,502896.9,600,600,600,600,600,496657.2,600,600,489414.4,498748,600,558407.6,600,600,600,600,600,600,600,600,600,459307.3
51_7.253_79.0422,600,143645.7,87111.55,600,69875.59,275275.5,600,600,600,600,600,600,409237.4,600,600,600,303406.8,600,600,600,600,600,264904.9,600,600,600,254031.5,254184.6,600,600,600,600,600,600,600,600,143645.7,87111.55,600,69875.59,275275.5,600,600,600,600,600,600,409237.4,600,600,600,303406.8,600,600,600,600,600,264904.9,600,600,600,254031.5,254184.6,600,600,600,600,600,600,600,600,143645.7,87111.55,600,69875.59,275275.5,600,600,600,600,600,600,409237.4,600,600,600,303406.8,600,600,600,600,600,264904.9,600,600,600,254031.5,254184.6,600,600,600,600,600,600,600
52_3.613_79.0422,600,600,600,600,600,214442.4,230486.1,600,600,600,600,408867.9,240486.8,600,318351.8,600,262496.2,600,600,600,600,600,600,600,281809.8,600,213049.5,600,600,239115.8,600,246303.8,206032.4,600,600,600,600,600,600,600,214442.4,230486.1,600,600,600,600,408867.9,240486.8,600,318351.8,600,262496.2,600,600,600,600,600,600,600,281809.8,600,213049.5,600,600,239115.8,600,246303.8,206032.4,600,600,600,600,600,600,600,214442.4,230486.1,600,600,600,600,408867.9,240486.8,600,318351.8,600,262496.2,600,600,600,600,600,600,600,281809.8,600,213049.5,600,600,239115.8,600,246303.8,206032.4,600,600
53_2.874_79.0422,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,603625.4,600,600,600,600,600,600,250416.5,600,600,600,600,600,600,600,600,219988.8,352624.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,603625.4,600,600,600,600,600,600,250416.5,600,600,600,600,600,600,600,600,219988.8,352624.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,603625.4,600,600,600,600,600,600,250416.5,600,600,600,600,600,600,600,600,219988.8,352624.1
54_4.472_79.0422,600,600,600,600,600,600,600,600,600,600,600,600,91898.72,600,600,600,600,600,600,600,600,600,141679.8,600,600,600,600,600,89200.17,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,91898.72,600,600,600,600,600,600,600,600,600,141679.8,600,600,600,600,600,89200.17,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,91898.72,600,600,600,600,600,600,600,600,600,141679.8,600,600,600,600,600,89200.17,600,600,600,600,600,600
