Compound Nme, 13 01, 13 02, 13 03, 13 04, 13 05, 13 06, 13 07, 13 08, 13 09, 13 10, 13 11, 13 12, 13 13, 13 14, 13 15, 13 16, 13 17, 13 18, 13 19, 13 20, 13 21, 13 22, 13 23, 13 24, 13 25, 13 26, 13 27, 13 28, 13 29, 13 30, 13 31, 13 32, 13 33, 13 34, 13 36, 14 01, 14 02, 14 03, 14 04, 14 05, 14 06, 14 07, 14 08, 14 09, 14 10, 14 11, 14 12, 14 13, 14 14, 14 15, 14 16, 14 17, 14 18, 14 19, 14 20, 14 21, 14 22, 14 23, 14 24, 14 25, 14 26, 14 27, 14 28, 14 29, 14 30, 14 31, 14 32, 14 33, 14 34, 14 36, 15-01, 15-02, 15-03, 15-04, 15-05, 15-06, 15-07, 15-08, 15-09, 15-10, 15-11, 15-12, 15-13, 15-14, 15-15, 15-16, 15-17, 15-18, 15-19, 15-20, 15-21, 15-22, 15-23, 15-24, 15-25, 15-26, 15-27, 15-28, 15-29, 15-30, 15-31, 15-32, 15-33, 15-34, 15-36
1655_6.392_1114.5412,678341.4,683329.9,678372.9,670868.1,600,558905.1,709981.9,492602.3,686504.3,600,737455.4,584798.9,814091.2,840933.9,872655.5,807323.5,879548.2,771111.9,600,270131.2,571111.8,946728.5,799273.2,747171.8,688045.7,853728.4,216693.8,773631.3,188152.4,752853.1,807652.1,886188.4,600,776992.9,641176.9,585772.4,865795.9,672214.2,601713.4,347306.4,207334.2,791810.3,636774.7,843735.1,805874.9,266493.5,411969.9,704104.1,730660.3,870805.6,815095.7,779158,472552,763467.6,810270.7,900758.8,828310.2,706468.9,797818.9,725059.4,587290.8,685806.8,838459.1,600,382852.9,701342.8,712243.6,796574.6,782772.4,818615.1,573010.8,633464.1,600,600,13307.21,600,714584.8,105476.9,664349.3,600,821281.9,801796.6,787594.1,800644,667248.6,753991.4,664454.4,797190.1,600,670701.4,600,119146.5,700516.6,767278.7,751445.9,735272,224538.8,253047.3,120799.4,129565.4,153053.5,781412.6,734636.4,734132.9,685747.8
1656_6.972_1118.5118,59072.05,600,600,600,600,833880.9,27034.29,600,600,600,72343.5,10586.12,600,600,600,600,49978.77,600,600,600,600,74594.78,1301489,600,600,62490.47,600,283796.4,26764.91,1133142,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,29321,600,600,74721.86,42494.04,600,59968.28,600,921427.1,600,600,600,600,11199.02,600,600,46309.62,600,600,600,600,600,600,600,600,600,1349652,600,27304.41,600,600,600,600,600,600,600,115826.6,1487869,600,28742.73,600,600,600,600,54433.33,600,600,600,102183.9,600,600,600,61465.03,56031.33,600,600,600,110979.1,600,106008.6
1657_4.063_1120.3683,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,130437,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1073128,600,600,600,600,600,600,600,600,600,600,173925.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,843507.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,268351.1,600,600,600,600,600,600,323688.3,600,600,600,600,600,600,600,600,600,339003.6,341930.5,482070.2
1658_6.295_1122.5062,600,19200.88,600,42981.7,600,600,600,600,29408.07,21797.77,600,23973.48,60266.47,25493.37,600,80396.95,70408.57,55015.39,600,600,23123.54,26855.65,39686.06,28158.24,57315.04,44188.41,600,26486.11,59210.8,600,62872.94,81871.16,65959.72,29641.87,58909.9,600,600,36970.35,54790.27,50302.48,600,46254.45,31530.3,60424.86,24613.64,600,600,33335.66,600,53721.7,62601.13,20412.85,54458.16,600,600,38468.2,81734.06,600,23973.69,29695.81,600,37191.61,600,38026.58,38655.16,600,60603.44,64586.66,600,600,600,49503.54,34052.94,600,600,600,600,600,69030.56,600,61430.91,52928.88,600,56792.23,600,87479.81,67501.39,49270.28,74695.91,57080.03,600,21280.52,56042.57,600,78407.41,68135.73,600,600,600,600,600,55070.11,62126.86,52076.17,600
1659_6.566_1122.5075,600,600,600,600,600,16667.67,600,600,600,600,600,600,600,600,600,91094.21,600,600,600,600,600,600,600,600,139343.7,600,195902.9,21960.84,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,196388.8,600,600,600,600,14079.38,600,600,600,600,600,15685.8,600,600,600,600,600,600,600,163228.2,128112.3,99851.66,93758.63,600,600,600,157336.7,600,600,600,600,150659.6,88159.05,600,47423.65,162862.5,600,600,600,182192,600,600,600,189274,600,100229,144299.3,600,600,197031.7,600,600,125916.5,18296.89,600,600,600,11184.42
1660_6.869_1122.5356,600,41320.02,600,600,600,600,600,600,600,226876.6,600,600,23778.62,600,600,30077.26,38740.62,600,600,600,38590.52,600,41534.57,600,600,28513.31,145932.8,600,26400.51,600,35681.1,39015.41,33522.75,600,600,600,49266.23,15461.35,600,600,131264.9,22799.65,28802.79,600,49379.84,40858.59,37669.02,600,600,600,43193.3,16771.08,600,11678.98,600,600,54217.37,600,600,600,600,600,600,600,37466.41,51505.72,600,600,50046.06,39082.85,78010.78,28736.61,100377.1,600,600,5951.718,40033.96,36144.96,600,600,600,600,600,600,36910.86,91612.31,600,91604.88,600,600,73659.78,38840.98,129403.9,600,600,600,107024.5,600,31759.52,63516.2,600,600,600,107652.6,600
1661_6.586_1124.526,600,600,29855.36,600,600,600,600,600,600,65612.74,53052.14,600,600,125962,35705.31,600,92561.54,600,600,600,32797.06,111730.8,600,600,68825.89,600,120192,63198.38,45714.13,63920.69,600,109134.4,600,600,53414.61,61406.25,600,600,600,600,600,600,47183.65,600,600,600,600,600,69680.5,110653.2,600,600,69036.93,33411.7,33340.98,48196.17,600,101453,600,600,600,600,36670.05,83776.53,100370.9,44802.82,32841.16,600,49650.8,48337.72,38426.05,600,217401,600,600,147612.4,139054.1,600,600,600,600,133477.4,600,600,600,37569.36,600,127537.9,151613.3,600,600,600,600,600,121039.2,600,600,99193.82,600,600,99318.9,110665.4,600,600,600
1662_6.577_1126.5389,600,600,600,600,600,600,600,600,600,600,82598.68,600,91628.77,600,92484.2,99353.28,600,82308.67,90315.07,96346.54,600,600,96579.9,600,600,81010.09,600,600,7544.587,600,76518.34,600,83181.14,92873.88,600,600,99772.72,600,99419.53,600,600,28242.34,86314.17,86475.83,98680.91,80642.97,88642.2,86538.73,600,600,73765.73,600,600,600,84794.43,111095.7,84216.05,600,33153.27,72895.91,47767.28,94686.44,102756.9,600,600,78085.41,74025.19,76784.56,96143.92,90516.68,106871.3,149035.1,600,152106.8,88410.39,600,600,115820.2,114760.3,600,117603.9,600,112450.1,109187.5,100324.8,117479.5,91286.15,600,600,103513,92211.36,114352.4,89242.8,115880.6,600,85967.46,94697.67,600,83683.99,94116.28,600,600,600,118600,103830.2
1663_6.669_1134.5061,600,22264.45,63032.4,60315.7,16215.79,18853.12,56693.53,71366.94,39391.24,20941.34,70823.76,64742.98,600,36591.18,81522.48,36075.86,26343.3,29034.25,73185.2,59607.27,600,28128.34,17425.29,600,600,41655.13,600,25228.51,600,19668.86,21657.43,55811.6,82483.85,600,34221.54,45850.63,600,600,600,22808.11,600,600,600,600,28280.96,79556.55,600,43747.95,29972.61,81847.7,48097.38,24708.5,600,24485.69,91004.95,69585.96,600,600,36998.49,30187.69,600,9755.511,52990.32,71200.76,26804.98,67178.98,65447.63,76622.09,65414.6,600,22505.62,51542.7,26436.16,65721.92,19845.42,600,63657.29,600,600,600,32089.31,74325.56,600,39413.84,600,600,48823.87,34078.22,600,600,600,600,34963.79,600,63612.19,45436.37,600,65888.71,43172.64,600,600,24366.43,64406.43,600,29424.12
1664_6.623_1134.5062,600,26344.07,600,600,600,600,58056.13,600,600,28731.1,600,600,600,600,600,66135.43,47138.79,61071.71,600,85161.9,600,81879.58,600,600,600,101814.8,168804.7,27812.04,600,600,600,94218.9,600,600,600,600,600,600,119318.3,600,600,128183.2,600,600,165321.2,600,600,55526.02,41717.73,600,70820.31,600,600,21754.87,125236.3,600,96487.5,600,41729.93,38604.4,600,97789.94,109633.9,87124.44,600,600,600,600,600,123098.4,63103.12,63311.41,105883,600,147493.3,92686.96,600,123909.5,600,152619.5,124190.5,600,98860.22,600,600,127151.9,106893.1,96487.61,600,103657.8,115488.7,172233.4,78254.61,600,600,59563.61,107159.3,83218.3,101565.7,146863.1,97056.25,600,600,93939.72,600
1665_7.355_1134.5472,600,600,600,600,59892.27,68955.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,90416.3,600,13961.97,600,600,185109.3,157028.8,600,108508.9,600,74803.33,600,600,265193,3390.332,600,600,600,162565.7,75705.27,600,600,128440.5,600,235422.5,600,90113.07,600,600,96048.44,600,600,600,46502.02,152994,100878,600,17516.25,59121.95,600,600,600,600,600,600,600,139916.7,600,600,115913.9,600,70885.3,600,99106.56,600,180165.6,600,600,84403.1,600,600,600,600,600,600,600,600,79559.65,600,101843.4,118631.3,600,600,600,135317.4,600,165118.2,49662.46,600,92409.9,58509.94,600,600,85406.4,600
1666_7.343_1135.0565,42441.5,11428.91,51599.04,62236.75,27422.28,19287.56,600,600,33900.58,43480.54,54523.7,600,600,45288.95,39207.18,21927.46,600,6402.429,48368.48,42966.42,43808.55,51720.27,19847.9,39153.98,63047.57,600,73209.21,20237.11,30465.5,30158.95,600,77388.85,67082.16,49823.71,31012.41,29739.4,600,33065.08,63501.44,33611,19597.68,21272.9,17731.69,52189.24,72056.68,58400.64,600,600,38424.33,600,61075.98,16647.03,61310.13,4919.104,30827.83,600,37394.35,600,22114.55,37142.46,58877.48,51936.31,20349.09,56757.24,600,600,36870.23,51190.22,42050,4150.113,31398.14,50371.12,52423.22,44347.81,52834.46,600,68770.14,600,600,27090.65,600,600,600,600,45947.51,53831.27,42918.3,600,600,600,600,39198.4,16691.08,49665.25,58954.81,42658.62,600,33653.8,32049.15,28297.73,600,36352.09,600,600,34999.95
1667_6.527_1136.5216,600,130371.2,600,600,164865.7,600,600,600,600,662103.9,600,600,600,600,600,600,600,600,600,600,600,600,600,122034.3,600,600,600,600,600,600,600,600,917151.4,600,600,600,600,600,600,246969.3,600,600,600,600,600,600,115882.4,600,600,600,600,600,600,137642.3,600,600,600,600,600,600,600,600,600,768335.4,600,600,600,600,600,600,600,600,600,600,600,600,175422.8,600,600,649649.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
1668_6.711_1136.5223,1494707,1052432,1442106,1368507,1092517,600,1447644,1187519,1036108,1253782,1668562,1245295,1597839,1728624,1627668,1447113,1650360,1681161,1558469,600,1547514,1802186,600,1387832,1572965,1570624,1861105,1060967,1697337,600,1681639,1832939,1553724,1686067,1293375,1019405,1647785,1327296,1822422,1403753,940571.1,1649863,1603406,1560376,1885718,1689203,1455148,1689054,600,1679411,1469969,1244160,1493412,600,1698065,1511735,1458252,1613763,1239497,1360928,1673940,1705662,1653369,1656057,1661987,1637483,1592395,1510639,1494004,1597130,1239909,600,1522551,1623365,1663312,1668417,1343195,1489593,1335825,1568602,1541956,1571705,600,1476756,1381165,1365943,1370482,1595663,1494996,1414701,1500223,1489958,1110383,1429805,1510897,1395539,1547901,1486887,1632526,1549285,1631931,1432392,1181891,1250522,1140241
1669_7.259_1136.5383,600,41387.64,600,600,600,600,600,600,600,20900.98,600,600,600,50967.86,600,600,600,600,600,1582115,600,600,600,600,600,91225.09,75083.48,600,600,600,600,600,600,600,600,600,600,20206.87,600,600,600,600,77946.09,600,102359.6,600,600,600,600,600,600,10144.6,600,600,600,8355.725,600,600,600,600,600,600,600,600,600,600,600,600,45199.27,600,158076.6,10583.69,127914.9,600,48959.78,600,600,600,600,600,600,600,13100.15,600,600,600,142259.7,600,1697.986,600,600,600,600,600,600,600,100065.8,600,600,70724.27,600,600,600,600,600
1670_7.223_1142.5235,600,600,600,99750.58,600,600,600,600,600,600,42762.7,600,600,600,83828.11,600,120401.4,108390.3,600,154916.6,600,69743.52,600,14162.52,99258.06,93304.16,600,600,22183.66,600,600,160148.1,98362.84,600,600,600,84758.09,600,600,17521.15,600,600,600,600,600,600,600,600,24587.27,85250.78,600,600,600,600,187943.6,600,81198.91,600,600,600,110895.1,600,600,600,600,600,600,37902.27,600,600,600,600,119603.5,600,90692.48,132976,52443.76,600,82716.69,89905.6,600,82271.94,600,113530.9,600,600,600,600,600,600,600,600,600,13132.23,71772.09,71270.38,78375.51,600,600,600,65279.61,600,600,600,600
1671_6.701_1144.5506,950474.8,998881.4,922626.1,600,543443.6,600,600,973742.4,600,972724.1,600,883768.2,2148.937,600,600,600,600,600,4166.538,600,600,600,600,40527.14,600,600,600,600,600,600,18930.98,600,600,100088.7,600,600,600,600,600,600,600,22931.66,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1333.02,600,600,600,600,600,600,600,1026197,600,600,600,600,600,600,600,600,600,600,600,16112.59,600,600,1005780,600,994626.8,600,600,600,1020151,600,600,600,600,600,600,600,600,600,626806.1,600,64775.92,972990.8,878751,600,600
1672_6.714_1144.5545,600,600,600,11600.36,600,600,600,600,600,600,600,600,1100454,600,600,600,1101275,600,1086017,1176979,600,600,600,600,600,600,600,600,600,600,600,29349.21,600,600,600,600,600,600,600,3657.529,600,600,1139740,600,600,1286474,600,600,600,600,600,19318.42,600,600,1154852,600,600,1121359,1090786,600,600,600,600,600,1136004,1094396,600,600,600,600,22467.72,600,600,1252965,600,600,600,600,600,600,600,1440.807,600,600,600,600,600,600,600,600,600,1088255,600,600,600,600,1198985,1052239,600,600,600,600,600,600,600
1673_6.746_1147.5149,600,73152.37,51360.46,216604,158100,23973.98,34446.03,50930.27,600,89797.63,61614.86,600,600,600,600,600,600,600,600,55159.71,134457.1,600,600,32727,29639.6,600,69438.77,27621.39,27288.98,23822.23,45216.63,600,46222.2,600,600,600,49340.19,600,78833.42,65743.42,51843.89,600,62508.7,600,600,21541.5,75022.2,600,66859.59,600,600,89454.43,43393.61,53144.01,600,600,63942.59,600,19164.71,30522.92,25260.78,600,600,600,105961.2,600,600,1630.497,600,600,600,600,64444.27,59719.06,64398.65,213284.7,181430.1,600,55909.22,62306.26,36734.71,192254.5,238413,600,166820.5,600,49984.71,46619.16,179746.4,600,51740.98,87920.21,40790.66,31477.83,199163.4,600,600,46999.98,52442.84,49259.93,63597.82,27891.43,600,90834.97,600
1674_6.701_1148.5211,285773.1,99601.99,241515.8,600,91043.16,180185.9,240023.1,241553.3,217497.6,600,348927.8,218093.5,293771.9,316874.5,302644.2,224782,217444.6,600,290752.4,341066,94276.68,316182.5,40029.9,600,283478.2,278959.3,409911.6,148142.6,270535.9,600,305504.1,327406.2,279127.4,332233.6,211019.6,600,305954.4,101875.9,317429.5,17675.65,117255.9,292516.9,307189.4,290961.3,302276.2,306193.8,325599.9,292413.1,600,164285.9,247680.5,600,281862.4,15362.04,323361,293505.4,227105.2,327822.8,163995.5,188793.5,252900,263049.4,264959.6,288622.8,330121.1,320450.6,279370.3,289508.1,321288.8,291833.6,238751.4,290386.4,354198.6,338047.8,283793.3,90931.16,146916,600,186317,600,234721.9,600,600,273000.3,154667.7,273937.9,600,247116.2,600,600,308099,153901.8,226728.9,214198.4,600,260830.1,318506.2,291558.9,330000.8,265576.9,48345.37,274679.3,266545.8,600,215094.8
1675_6.891_1150.5318,600,600,9886.23,600,600,600,49652.73,600,600,5719.41,600,600,600,9557.447,600,600,53250.05,112438.3,59271.63,600,600,600,64057.96,600,600,115974.5,600,600,600,10193.65,600,105927.8,70249.69,7847.467,600,600,9430.93,600,600,600,600,6440.859,600,70087.66,600,600,600,52195.29,93635.11,144104.7,600,63976.1,600,600,600,24175.54,600,102868.6,600,28133.75,600,600,600,600,600,600,600,600,600,600,600,101866.7,50260.5,600,28251.16,96127.35,600,600,600,104110.5,600,77851,600,128523.4,600,17673.98,85935.81,124142,115880.8,95724.91,50718.95,129247.4,600,600,27450.96,10307.27,600,600,80166.24,600,600,67156.71,55963.83,600,600
1676_6.341_1152.5174,57117.6,600,106512.5,89281.85,32413.09,600,600,53675.42,102920.9,32273.46,140356.2,99108.48,131651.5,122468.4,124698.2,146199.7,129906.5,101786.6,600,67607.46,29227,141562.1,6013.815,600,108407.5,85154.77,43258.64,600,19767.96,62363.45,112601.3,134350.2,110791,600,111121.7,44224.65,108786.1,45060.11,109525.7,600,600,139814.9,114673,146179.1,136909.8,49278.56,88369.78,86778.83,37078.98,127823,125318.5,12548.08,103723,42273.9,600,138824.8,600,142957.8,33377.45,600,96381.98,130072.1,114525.1,600,72323.85,600,126182.4,600,140109.5,153369.5,68408.11,600,600,600,600,600,77852.58,600,600,113025.9,103727.5,121575.1,97604.75,52584.49,100024.3,123135.7,121284.7,126064.2,115277.3,100609.1,600,600,600,86688.45,60512.53,93616.35,600,600,600,5468.565,600,600,600,600,74740.46
1677_7.341_1154.5456,147490.6,600,145603.1,115322.9,600,25117.04,120760.3,98108.91,600,15019.34,159353.2,101125.5,163576.8,180625.5,138956.2,140551,145554.8,153352.2,113111,600,600,188058.3,22118.8,600,152032.5,600,600,600,600,600,149974,181298.8,166970.6,600,89383.37,68404.42,147035,600,3646.219,600,600,148684.4,600,94349.4,600,133445.9,117053.4,124955.1,600,75644.48,133135.9,600,600,600,25407.3,86342.67,120900,23275.35,600,30133.74,109422.9,113596.8,178561.8,127205.6,127147.8,127346.2,600,166815.3,131371.2,600,90390.79,600,600,600,98080.84,600,122942.9,108181.1,71020.89,108640.7,136806.8,118694.2,129526.9,118350.8,107503.1,77308.35,95963.76,107189.4,51590.84,600,600,78736.97,98265.02,79355.05,96208.7,116157,600,107289,108367.6,600,99613.15,91373.39,70333.6,95792.3,87980.56
1678_7.47_1155.5589,31828.54,26735.16,23823.63,8884.907,600,16573.46,85890.69,600,33938.72,600,18678.75,18039.88,600,600,600,73698.24,600,5095.008,600,64110.14,600,88973.09,48211.07,600,93006.59,600,600,600,600,59343.52,600,27163.24,5455.543,600,81456.38,61671.5,4262.557,10408.31,87822.72,600,600,68194.73,10989.54,10409.02,82214.45,600,600,600,600,600,600,600,600,600,600,11538.61,600,600,600,600,21744.23,600,600,71369.97,71055.34,72571.8,600,600,65370.33,600,63832.03,70432.88,600,90280.61,68741.48,70979.72,93769.92,44938.98,99506,84836.52,15514.45,222653.2,4824.349,105598,600,5240.57,89058.27,82019.11,79191.88,189129.3,137378.4,74566.19,600,600,14458.06,45722.19,108454.1,600,600,26857.88,99071.27,153297.7,26764.07,75270,600
1679_6.95_1160.523,123306.9,165574.2,124140.2,149258.1,58677.34,41292.49,116147.4,115815.2,83081.41,42411.98,600,107093.7,136282.8,600,130068,139222.4,600,155122.5,116035.7,149794.1,600,171542.6,55520.99,131906.5,141644.8,600,175874,79399.22,155526.4,53947.03,147087.9,162155.3,100540.5,764386,112050.9,85622.31,600,43169.64,600,152374.6,51919.91,600,144861.9,146671.1,241669.7,600,144342.2,147195.8,171703.3,160429.9,600,218524.2,142030.9,47914.05,436953.4,162944.5,600,145261.4,600,600,144142.2,255500.1,49611.66,141836.7,600,139616.7,600,140107.5,188355.9,142450.3,164540.9,600,143588.3,71193.64,146201.1,600,127536.2,144651.9,120149,600,133893.6,155266.5,132595,131171.1,207718.4,138542.2,129751.9,600,135399.6,125007.4,131571.5,562890.1,81798.38,653903.6,113359.9,143130.3,215825.7,126738.2,188301.8,688666,90104.66,39903.4,84477.66,78701.71,69602.73
1680_6.212_1160.5463,589982.6,600,646666.2,581539.8,600,600,610156.8,492876.1,600,681606.6,701328.9,379382.9,773922.4,738188.6,751724.2,857213.8,796336.8,677831.6,758932.6,600,592424,808212.4,825693.1,407610.2,494275.9,660533.8,600,814707.3,600,682082.9,688376.1,734811.1,849397.8,787781.3,600,600,756255.5,785521.6,552494.8,600,600,610852.4,406526.6,783810.4,743807.8,600,402806.4,624974.4,600,653574.2,754505.1,459463.4,544788,635648.4,726283.3,774570.1,582498.7,790180.6,483008.2,716578.2,600,426410.4,335756.1,493556.8,281802.6,615288.3,766374.1,530810,702147.3,780605.6,600,600,600,600,600,600,561822.9,600,565871.9,566409.6,733660,711692.6,686530.8,5019.621,600,600,575832.6,637836.7,600,634561.6,600,600,534848.2,659568.2,600,619125.3,600,600,600,600,600,676561.1,647393.3,706129.1,689644
1681_6.967_1162.537,620096.1,286977.6,596726.9,614702.5,276347.7,412777.7,578146.5,454365.2,432614.3,486403.1,805848.3,521199.1,701028.4,956296.6,822800.7,616109.1,663938.2,743940.8,724224.9,716141.9,279519.9,771673.6,564378.1,464322.4,681081.3,787756.8,874333.8,235060.1,42011.91,600,732642.3,701057.7,521156.8,2756.285,573661.3,60796.91,752046.4,392448.9,875974.5,600,257353.4,565468.6,671132.1,655990,3782.277,732414.9,554843.8,699901.8,600,659838.1,564638.4,600,690014.3,342115.3,426751.6,755428.6,748586.1,721824.8,398681.5,389378.7,663791.8,600,681445.6,670215.9,600,676112.4,686095.4,641434.8,600,693233.9,600,538026.9,674863.6,688494.5,610304.4,676961.4,557772.1,561993.2,482063.4,664656.6,595433.3,622437.4,590066.3,490589.6,600,613295.6,609832.6,621236.7,624982.3,600571.1,632864.8,48437.79,412509.2,600,735729.9,615713.3,600,578439.8,75862.18,600,617517.3,82854.41,408878.6,458214.7,374458.9
1682_6.917_1163.5433,600,4264.517,600,600,225331.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,81809.52,222808.7,600,85045.67,90058.99,600,600,600,211021.4,109905.1,410892.1,600,600,600,600,600,230091.2,600,600,600,450631.3,600,600,600,600,600,600,600,600,477880.6,600,113626.9,349330.1,600,99884.98,600,600,600,600,82921.22,600,600,660214.3,600,600,741684.4,600,600,600,597111.3,600,422230,600,600,600,600,600,600,600,600,600,600,83706.84,600,600,530228.4,600,600,600,600,600,600,600,600,600,600,600,600,600,573083,600,600,600,600,85037.34,600
1683_6.389_1164.5171,600,600,33007.22,72679.07,600,24198.38,76975.57,57794.44,68011.54,66035.88,76089.84,60798.25,600,63524.16,94783.17,98795.77,600,73371.11,600,600,600,59722.57,600,61147.82,600,600,600,600,58219.63,600,600,85439.94,97240.73,600,67437.73,600,600,87696.93,66282.38,600,600,75807.12,62302.62,94845.87,93821.18,600,31401.79,78728.38,600,93710.03,86812.02,17892.54,600,600,87732.47,93907.5,88507.24,76808.84,600,73437.41,600,600,600,70040.76,600,70664.03,600,89943.84,600,86096.77,600,600,600,600,600,600,600,600,600,600,77556.77,600,600,600,600,600,600,600,600,67263.47,600,600,600,31959.27,600,41194.97,600,600,600,600,600,68794.09,600,600,75779.21
1684_6.521_1164.5177,363108.8,232238.7,301885.2,196103.3,168422,187124.7,198286.3,324015.6,201243.4,318332.8,232435.5,297175.2,600,274141.4,70053.9,227201.2,165582.1,600,600,455001.1,600,600,600,316182.1,600,600,272175,247909.4,371637.3,600,600,264531.3,600,600,196039.1,179351.8,600,600,600,600,600,246904.5,382656.7,244688.1,600,446145.3,600,383736.6,216892.4,600,600,600,600,600,401675.9,270535.6,600,600,312897.1,146926.1,600,600,257028.8,247600.2,458533.8,371432.9,239766.3,341739.6,215400.2,242835,179333.7,189664.1,600,403591.9,600,261328.8,600,600,177564.6,176883.3,370770.5,253663.9,357665.1,600,365282.7,197018.3,162235.7,600,333557.7,600,222864.5,600,190442,6136.198,294071.2,75007.85,384423.8,215567,419743.6,600,600,323850,600,600,600
1685_6.544_1166.5322,275354.1,600,600,1011987,460531,916827.3,1032380,600,1003382,600,1190470,600,600,1313162,1270305,1259598,600,1193924,147563.5,600,1266017,1380681,1247250,1211069,1072580,1281684,1431621,1265009,1381626,906478.3,1241866,1310144,1245455,279059.5,935847.3,954312.9,1157879,1233538,1332067,1189449,812450,1234495,600,1177783,1309145,6451.674,1312219,600,454352.8,1321558,1185491,1156909,1256930,1077833,600,1233603,1226591,600,600,806945.6,1264812,1217011,1223625,1249916,600,600,1181113,600,1084811,1153689,885101.8,962112.8,1271980,600,1291188,1398077,1102912,1066266,905201,1022841,600,1138748,289758.6,1143281,600,1037356,993194.6,1219626,600,1080191,1209060,600,946527.8,868799.4,1109927,910136.6,600,600,600,1324368,1282902,600,115991.4,1036659,986107.1
1686_7.001_1168.5509,600,600,600,9433.565,19735.59,600,600,600,600,194561.5,600,600,23550.96,31200.92,600,600,561247.1,600,600,600,600,600,27759.81,18426.66,600,600,600,155073.1,41890.48,200642.3,600,600,600,600,600,600,24258.98,143005.8,96666.85,600,600,13144.18,600,600,600,53365.3,600,23396.3,600,600,600,600,698008.1,227334.8,600,600,47200.27,737490.1,216201,313754.9,600,600,600,600,12524.13,17644.53,600,600,600,3891.381,504521,600,600,57739.73,600,600,569975.6,600,87462.27,600,600,663204.9,600,619956.9,10940.46,525903.2,27152.84,45083.64,670294.9,600,600,219760.6,293073.1,33080.96,6200.163,554602.2,600,9131.187,525956.6,600,600,600,349870.6,600,600
1687_7.384_1169.5552,132246.4,29388.59,600,600,600,600,150155.8,600,73867.3,63105.97,600,600,43679.48,600,600,600,170833,600,600,600,600,201134.6,600,33350.12,178512.3,226074.4,600,600,600,33552.46,195124.2,600,16390.07,600,84855.18,600,600,600,600,600,600,600,161538.3,103239.3,29369.25,127685.9,600,180498.2,49738.77,600,600,600,600,600,600,70494.39,600,600,40219.04,600,600,89835.9,3158.26,74413.45,600,600,600,600,86705.28,600,129233.8,159938.7,247775.8,95967.26,600,600,148303.8,99351.25,600,186925.7,113638.8,600,122056.4,600,600,96473.55,600,103967.1,600,600,600,600,600,600,600,162364.7,199582.1,600,600,59491.73,165359.4,600,600,600,81156.33
1688_7.177_1174.5429,92421.63,33180.05,109572.6,600,9190.799,13046.42,600,79778.05,600,16994.04,72922.56,600,600,600,83371.96,600,600,168748.2,36869.18,600,600,600,600,11404.64,90931.54,600,160424.3,600,9256.652,15660.59,600,600,600,600,98675.34,21766.06,600,14804.61,600,600,33119.18,600,10785.93,600,600,600,118776,143354.6,13838.89,113458.6,600,600,600,20251.78,25403.39,600,42067.11,600,34885.98,9305.197,74437.83,600,141924,600,600,82335.91,600,50331.8,83727.97,600,54416.39,600,44237.01,190256.5,600,600,600,32830.7,600,600,600,117814.4,600,33919.8,600,600,600,600,76915.11,113919.1,16061.87,600,31638.23,36287.11,600,600,600,600,600,600,600,20673.58,600,25716.86,600
1689_7.232_1178.0535,63823.72,600,600,600,600,600,78523.89,57755.68,600,45228.88,80115.99,600,36890.09,600,76986.59,600,96173.48,86517.72,73004.11,600,53736.58,99469.42,600,7060.743,66773.36,99071.73,74709.57,600,7090.909,43714,89899.89,93909.2,59801.55,77908.98,600,17010.43,62727.47,7415.096,35458.52,9372.491,600,84185.78,76022.34,31201.59,90993.09,75945.72,77066.38,59221.99,600,91617.9,600,600,69385.29,31809.04,74520,77607.83,74311.41,93162.38,6529.524,6639.079,600,56503.58,68774.74,74930.42,90348.7,35388.03,27571.2,79052.8,25368.99,72347.47,52720.16,44061.59,76292.09,600,81069.13,71904.53,67611.55,78591.48,29849.56,68127.13,93085.22,78189.4,64435.84,76559.83,69510.3,51291.57,57335.7,76815.89,64733.02,69586.02,58349.65,600,600,63661.46,92373.97,70445.07,75146.88,63263.66,37435.23,76456.12,72672.73,42860.97,18946.34,25927.85,600
1690_6.841_1178.5334,600,191765,600,600,3112.727,178734.5,356001.8,600,600,124734.8,600,600,5704.07,600,600,600,153947.5,600,600,600,85870.85,600,600,43709.62,600,600,23551.26,600,4593.118,14594.93,600,600,600,600,600,600,600,600,168069.2,600,600,144751.4,600,600,600,148269.4,327553.5,600,600,600,600,152981.8,600,600,600,600,298045,600,34330.36,600,600,600,600,600,600,600,415072.1,600,600,600,600,600,600,123977.7,600,600,600,600,600,150109.6,600,600,600,600,600,600,600,254840.7,600,600,600,600,600,600,600,600,257358.3,600,600,142539.1,600,600,600,600,600
